effect,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
cymbale_inspiree,11.3568,-1.77029,-0.400754,-0.0779718,-0.553036,-0.384983,-0.449079,-0.228995,-0.260869,-0.121945,-0.135902,-0.0721378,-0.00881784
cymbale_inspiree,11.7375,-1.63788,-0.600708,0.0167354,-0.459505,-0.420353,-0.465903,-0.292155,-0.377289,-0.175903,-0.0769525,-0.0366318,0.0053991
cymbale_inspiree,11.7834,-1.75279,-0.496364,-0.0142178,-0.486819,-0.410321,-0.4841,-0.274458,-0.307688,-0.177393,-0.117921,-0.0398871,0.00351296
cymbale_inspiree,11.855,-1.9339,-0.496836,-0.0807339,-0.49983,-0.419062,-0.460542,-0.178729,-0.294138,-0.170611,-0.0947765,-0.0507978,0.0183934
cymbale_inspiree,11.9885,-1.77984,-0.520751,-0.0299838,-0.505067,-0.401333,-0.508572,-0.280443,-0.317867,-0.147998,-0.143533,-0.0987452,0.00737775
cymbale_expiree,12.1733,-1.73072,-0.537684,-0.0893399,-0.597239,-0.413104,-0.496054,-0.327862,-0.355435,-0.158821,-0.0662602,-0.0714331,0.0184356
cymbale_expiree,11.5077,-1.71973,-0.457433,-0.0194724,-0.535473,-0.425412,-0.489466,-0.237695,-0.337642,-0.15206,-0.0871986,-0.0816594,-0.0103068
cymbale_expiree,11.243,-1.82715,-0.35681,-0.0587765,-0.483922,-0.376789,-0.44473,-0.246736,-0.294677,-0.0945924,-0.117769,-0.0762583,0.030328
cymbale_expiree,11.4125,-1.8458,-0.49706,-0.0368998,-0.510962,-0.358965,-0.494368,-0.239315,-0.264917,-0.0751808,-0.120294,-0.0711703,0.0489556
cymbale_inspiree,12.0762,-1.52772,-0.561418,-0.0399617,-0.498523,-0.490661,-0.485662,-0.303321,-0.326106,-0.202992,-0.114605,-0.0690982,0.0110641
cymbale_inspiree,11.6219,-1.74777,-0.370978,-0.0991196,-0.552543,-0.392379,-0.466459,-0.216819,-0.326642,-0.134314,-0.104265,-0.0699487,0.00548186
hihat_humming,11.5647,-1.83623,-0.327686,-0.441234,-0.370612,-0.383449,-0.296942,-0.22377,-0.183081,-0.147191,-0.0429958,-0.0350847,-0.046764
hihat_humming,9.66716,-2.06643,-0.243988,-0.451314,-0.270288,-0.20393,-0.108366,-0.140219,-0.152614,-0.0642412,-0.0261846,-0.00658282,-0.022641
hihat_humming,11.8141,-2.08234,-0.307558,-0.526286,-0.185252,-0.411198,-0.169097,-0.247747,-0.263246,-0.20916,-0.11002,0.0414681,-0.0337498
hihat_humming,10.6844,-2.21603,-0.342244,-0.530117,-0.268168,-0.284399,-0.151457,-0.210573,-0.196301,-0.13135,-0.0438556,0.00187436,-0.0369751
hihat_humming,10.767,-2.36502,-0.295715,-0.364752,-0.281604,-0.353863,-0.165639,-0.160634,-0.197075,-0.111984,-0.062594,0.0302614,-0.026006
hihat_humming,10.4091,-2.09599,-0.410544,-0.500374,-0.184409,-0.240254,-0.0672918,-0.209959,-0.219221,-0.119566,-0.0863757,-0.0016985,-0.0775054
hihat_humming,11.7499,-1.96806,-0.47265,-0.543364,-0.25111,-0.311677,-0.258926,-0.234795,-0.300224,-0.160709,-0.082236,-0.00383272,-0.0342276
hihat_humming,10.5976,-2.4757,-0.347437,-0.394053,-0.186138,-0.200292,-0.206406,-0.0974887,-0.22089,-0.13256,-0.0410899,0.024038,0.0113811
hihat_humming,8.75729,-1.88836,-0.126057,-0.430764,-0.230322,-0.250815,-0.0741933,-0.151492,-0.144798,-0.101988,-0.051606,0.0102833,-0.0127369
